ResearchCenter,Researcher,Topic
TTG,"Harus Laksana Guntur, Prof., Dr., S.T., M.Eng.","Engineering, with particular expertise in peak Load, optimal Design, wave Energy, resonance Frequency, synchronous Generator, road, artificial Neural Networks, characteristic Thermal, rotation Speed, dampening Strength, driving Comfort, fuzzy Logic Control, economic Report, hole, permanent Magnets, energy Harvesting, shock Absorption, piezoelectric, exactly, electric Scooter, vehicle Suspension, engineering Energy, and recovery Time."
TTG,"Muhammad Lukman Hakim, S.T., M.T.","Engineering, with particular expertise in the inside part, propeller, shipyard, skin Friction, container Ship, patrol Ship, equivalent Sand Grain Coarseness, maneuverability, group Model, dynamic Cropping, biological fouling, design of Experimental Methods, smooth Surface, step Position, diameter Ratio, residual Resistance, deck house, ship Scale, full Scale, and sink."
TTG,"Wiwiek Hendrowati, Prof., Dr., S.T., M.T.","Engineering, with particular expertise in the inside part, cylinder Rod, lowest Natural Frequency, characteristic Vibration, hydraulics, dampening Strength, single Release, energy Harvesting, model Making, metalworking, shock Absorption, rotating Shaft, mass Ratio, graphic Representation, dynamic Response, test Sample, vehicle Suspension, and primary Voltage."
TTG,"Enny Indasyah, S.ST., M.T., M.Sc.",
TTG,"Katherin Indriawati, Prof., Dr., S.T., M.T.","Engineering, with particular expertise in filtering Algorithm, numerical Example, time Domain, feature Extraction, extended Kalman Filter, particle Filter, electric Vehicles, buck Converter, upgrade Converter, compressed Air Motor, expanded State Observer, path Planning, centrifugal Pump, fuel Cell, proton Exchange Membrane Fuel Cells, anti-Lock Braking System, output Voltage, and load Torque."
TTG,"Rindi Kusumawardani, S.Si., M.Sc.","Medicine and Dentistry and Engineering, with particular expertise in additional Activities, analysis of Failure Modes and Effects, fault Tree Analysis, danger, ground Support, remote Control, check Sheet, hazard Control, cost Reduction, supporting Equipment, important Changes, manufacturing Company, standard Operating Procedures, security Risks, and strategy Control."
TTG,"Heru Mirmanto, Dr., Ir., M.T.","Physics, Earth and Planetary Science, and Engineering, with particular expertise in hydraulics, propeller Driver, computational Fluid Dynamics, induction Draft, honda, fan Performance, air Condition, acid Solution, surrounding environment, flat Plate, numerical Studies, opening Angle, static Temperature, suction Pressure, corrosion Rate, and airplane wing."
TTG,"Dedy Zulhidayat Noor, S.T., M.T., Ph.D.","Engineering, with particular expertise in actuator, secondary Stream, boy, energy Dissipation, turbulence Intensity, solid-Fluid Interaction, free Fall, natural Convection, benchmark Problem, facing Steps, reynolds number, moving Objects, network Generation, central Difference, navier-Stokes equations, horseshoe Vortex, square Cavity, joints (Structural Components), finite Element Simulation, hand Side, rigid Structure, numerical Studies, saddle Point, and airplane wing."
TTG,"Hendro Nurhadi, Dipl.-Ing., Ph.D.","Engineering, with particular expertise in surface Water, propeller, degrees of Freedom, two Dimensions, end Effectors, estimated Results, constant Speed, autonomous Underwater Vehicle, remotely Operated Vehicles, remote Control, proportional-Integral-Derivative Control, optimal Trajectory, setting Time, pusher, image Processing, path Planning, piezoelectric, joints (Structural Components), drive System, numerical Studies, and yaw corner."
TTG,"Sefi Novendra Patrialova, S.Si., M.T.","Engineering, with particular expertise in alarm Pals, biogas, external Disturbances, light Intensity, internet of Things, artificial Neural Networks, gas Leak, permanent Magnets, human Eye, metric, multimode, energy Use, charging Process, refractometer, dynamic Response, test Sample, voltage Sensor, optical Fiber, system on a Chip, and thermocouple Temperature."
TTG,"Atria Pradityana, Dr., S.T., M.T.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in dielectric Spectroscopy, degrees Celsius, inhibition, thin Layer, acid Solution, engineering Energy, film, physical Absorption, and chemical Absorption."
TTG,"Detak Yan Pratama, S.T., M.Sc.","Materials Science and Engineering, with particular expertise in aluminium, x-Ray Diffraction, refractive Index, fuel oil, gold Nanoparticles, stretch Measurements, surface (Surface Science), poly Methyl Methacrylate, sodium, finite Element Analysis, hydrochloric acid, light Diffraction, test Results, step Index, core-Shell, artificial Neural Networks, front Wheel, laser Systems, and mini plants."
TTG,"Ardyono Priyadi, Dr. Eng., S.T., M.Eng.","Engineering, with particular expertise in firefly Algorithm, overcurrent, harmonic, artificial Neural Networks, power Loss, upgrade Converter, permanent Magnets, optimization Methods, compressed Air Motor, particle Swarm Optimization, maximum Power Point Tracking, power plants, temporary, bus System, industrial Power Systems, supercapacitor, engineering Energy, and wind Energy."
TTG,"Dimas Fajar Uman Putra, Dr., S.T., M.T.",
TTG,"Brian Raafi'u, S.ST., M.T.","Earth and Planetary Science, Agricultural and Biological Sciences, and Engineering, with particular expertise in alkalinity, temperature Sensor, real Time, livestock, raw Fish, carp, fish Pond, neck, cow, growth and development, degrees Celsius, induction Draft, sales price, test Results, internet of Things, artificial Neural Networks, amount of Dissolved Solids, moisture Content, battery Capacity, permanent Magnets, reverse Osmosis, parametric Modeling, analytical Hierarchy Process, system Redundancy, regressor, mobile Robots, sensor Termal, system Detector, and learning System."
TTG,"Liza Rusdiyana, S.T., M.T.","Physics, Agricultural and Biological Sciences, and Engineering, with particular expertise in free Energy, physics, adsorption Isotherm, potential dynamics, hydroponics, nutrition Monitoring, nutrient Film Technique, agricultural Technology, langmuir Adsorption, protective Layer, equation Model, and engineering Energy."
TTG,"Soeprijanto, Prof., Dr., Ir., M.Sc.",
TTG,"Mokh Suef, Prof., Dr., Ir., M.Sc (Eng)","Computer Science and Engineering, with particular expertise in aesthetic Quality, case Study, conceptual Model, core Competence, creation Process, customer Empowerment, customer Survey, customisation, effectiveness Measurement, organizational Culture, related Component, type Systems, closed Loop, collecting Data, cooperative, environmental Technology, generation Cost, high Water Content, hybrid Power, improvement Strategies, interrelationship, joints (Structural Components), maintenance Department, numerical Example, reduce Emission, response Surface Methodology, room Temperature, safety Factor, ultimate Tensile Strength, value Creation, and vulcanization Process."
TTG,"Suhariyanto, Ir., M.T.",
TTG,"Suyatno, Dr., S.Si., M.Si.","Physics and Engineering, with particular expertise in echo, indonesia, data retrieval, eyring's theory, voice Transmission, aC, room Acoustics, building material, quadratic Residue Diffuser, level Distribution, autocorrelation Function, simulation Results, acoustic Performance, resin Composite, coverage Criteria, maximum, reduced Graphene Oxide, human Hearing, design Development, odor diffuser, important Changes, aircraft, flow Resistivity, reverberation Room, channel, strategy Control, impedance Tube, and reverberation Time."
TTG,"Warlinda Eka Triastuti, S.Si., M.T.",
TTG,"Ruri Agung Wahyuono, Dr. rer. nat., S.T., M.T.","Materials Science, Chemistry, and Engineering, with particular expertise in al2O, aluminium, x-Ray Diffraction, fotosensitizer, density, carrier Concentration, single layer, heavy metal, microplastics, surface (Surface Science), optical Properties, nitride compounds, chemical Synthesis, sodium, thermochromic, titanate, uric Acid, nano Materials, bipiridine, the Exciting State of Electronics, chronoamperometers, pink, methylene Blue, paper-Based Analysis Tools, band Gap, hydraulic Diameter, computational Fluid Dynamics, renewable energy, irradiation, cell Performance, glucose Concentration, fuzzy Logic Control, barrier Coating, initial treatment, natural Dyes, frequency Response, rice Husk, fuel Cell, silicon Dioxide, fourier Transform, what can be observed, zirconia Stabilized by Yttria, and funny."
TTG,"Alief Wikarta, S.T., M.Sc.Eng., Ph.D.","Engineering, with particular expertise in genetic Algorithms, capacitor Bank, bioethanol, humming, filter Design, field Elasticity, hybrid Energy, renewable energy, test Road, structural Strength, elliptical Hole, routing problem, cold Start, parameter Geometris, transfer Learning, fuzzy Logic Controller, environmental Testing, engineering, spur Gear, and cooling System."
TTG,"Siti Zullaikah, S.T., M.T., Ph.D.","Pharmacology, Toxicology and Pharmaceutical Sciences, Food Science, and Chemical Engineering, with particular expertise in hypercholesterolemia, microemulsion, drug Delivery Systems, lactobacillus bacteria, molasses, proximate, rhizopus, phenolic Compounds, low Rank Coal, solvent Extraction, ethanol, hexane, lipid, sulfide Minerals, and transesterification."
Halal,"Arief Abdurrakhman, S.T., M.T.","Engineering, with particular expertise in biogas, renewable energy, test Results, hydrogen Sulfide, human Senses, internet of Things, artificial Neural Networks, check the PID, stirling engine, isolation Method, optimization Methods, particle Swarm Optimization, data Monitoring, sensor Ultrasonik, kinetic Energy Recovery System, water Temperature, design Stage, and engineering Energy."
Halal,"Noor Nailis Sa adah, S.Si., M.Sc.",
Halal,"Imam Safawi Ahmad, S.Si., M.Si.","Computer Science, Social Sciences, and Engineering, with particular expertise in classification Accuracy, data Primer, data Seconds, hierarchical Clustering, survey Analysis, great science, indonesia, quantitative Methods, community Service, statistik SPSS, technology, frequency Analysis, exhaust Fan, growth Curve, special Material 2., payback Period, outdoor Space, and scale judge."
Halal,"Rendra Panca Anugraha, Dr.S.T.","Engineering, with particular expertise in pressure Swing Adsorption, pinch Analysis, research Octane Number, remote area, initial Design, computational Fluid Dynamics, mass Fraction, acid Gas, simulation Results, isothermal, heat Exchanger Mesh, energy Crisis, increase Efficiency, light Naphtha, multiobjective Optimization, quantitative Risk Assessment, pressure Drop, payback Period, economic Potential, steady State Simulation, storage System, case Scenario, energy Resources, and atmospheric Distillation Unit."
Halal,"Hakun Wirawasista Aparamarta, S.T., M.MT., Ph.D.","Pharmacology, Toxicology and Pharmaceutical Sciences, Food Science, and Agricultural and Biological Sciences, with particular expertise in 2. Propanol, anti-Infective Agent, methanol, anti-Inflammatory Medication, natural Products, silica Gel, squalene, triasilgliserol, cholestana Derivatives, hibiscus, solid State Fermentation, ash Content, response Surface Methodology, cooking oil, ragi, rhizopus, starch Fiber, sucrose, agar-agar, raw material, calophyllum inophyllum, leaf Extract, phytochemicals, flavonoid, fence Distance, artificial intelligence, thin Layer Chromatography, fruit peel, herbal medicine, triglycerides, and xylocarpus."
Halal,"Niniet Indah Arvitrida, S.T., M.T., Ph.D.","Computer Science, Social Sciences, and Engineering, with particular expertise in optimization Algorithm, network Design, influence Factors, total Distance, blood Supply Chain, matching Strategy, indonesia, conceptual Framework, bank Performance, consumer Behavior, literature Review, electric Vehicles, developing country, stuffing, recovery Process, peak hour, parts, total Profit, mobile Unit, and service Time."
Halal,"Raden Darmawan, Dr. Eng., S.T., M.T.","Materials Science, Agricultural and Biological Sciences, and Engineering, with particular expertise in tummy time soon, tummy time soon, tummy time soon, tummy time soon, tummy time soon, and tummy time soon."
Halal,"Rindang Fajarin, S.Si., M.Si.","Materials Science and Engineering, with particular expertise in aluminium, barium, solid Electrolytes, hexaspheres, capacitor, compression Strength, density, electrochemical Double Layer, scanning Electron Microscope, composite Coatings, protector, surface (Surface Science), polymerization, oxida, come Left, tin, titanate, voltammetry Glides, orthopedic Devices, substantial Factors, splines, activated Carbon, reliability, Availability and Ease of Maintenance (Reliability Engineering), scan Speed, temperature Dependence, good Performance, double Layer, finite Difference Method, influencing Nodes, energy Storage, climate Change, tensor Products, surface Area Ratio, sensor Gas, knot, drying Temperature, compaction Pressure, and residence."
Halal,"Setiyo Gunawan, Prof., S.T., Ph.D.","Pharmacology, Toxicology and Pharmaceutical Sciences, Food Science, and Agricultural and Biological Sciences, with particular expertise in 2. Propanol, ionic Liquids, aliphatic Hydrocarbons, double Bind, carbohydrate, crystallization, methanol, natural Products, silica Gel, squalene, triasilgliserol, cholestana Derivatives, hibiscus, bran, fermentation, solid State Fermentation, protein Content, active Packaging, accelerated shelf life, response Surface Methodology, molasses, also, ragi, rhizopus, starch Fiber, sucrose, tocopherol, save Age, yogurt, agar-agar, raw material, a photo manila, calophyllum inophyllum, leaf Extract, flavonoid, enzymatic Hydrolysis, straw, artificial intelligence, kolestan, fruit peel, esther Candle, herbal medicine, mutual purification, solar Radiation, rumen, triglycerides, xanton, and xylocarpus."
Halal,"Afan Hamzah, Dr.S.T.","Agricultural and Biological Sciences, Engineering, and Chemical Engineering, with particular expertise in alpha-Amylase, pseudomonas aeruginosa bacteria, bentonite, edible Films, lime, humidity, food Packaging, scanning Electron Microscope, calabrian mountains, starling, crimson pennywort, ralston is picketing, rhizosphere, solid Waste, contaminated Land, oil Spill, saturated water, free Enzyme, hemicellulose, separation Performance, ethanol Concentration, critical Micelle Concentration, spherical Particles, silica Particles, cross fasteners, cerevisiae Tree, corn Stover, theoretical Studies, fourier Transform, film, polycyclic Aromatic Hydrocarbons, carbon Dioxide, functional Groups, gas Chromatography Mass Spectrometry, heavy metal, palm oil, and polymerization."
Halal,"Agus Muhamad Hatta, S.T., M.Si., Ph.D.","Physics, Materials Science, and Engineering, with particular expertise in rational, synchronous Meteorological Satellites, glass Fiber, experiment Results, dependency Disadvantages, temperature Range, and silicon Dioxide."
Halal,"Hasan Ikhwani, Dr., Ir., M.Sc.","Earth and Planetary Science and Engineering, with particular expertise in spectrum Analysis, wave Direction, high Flow, breaking Wave, burnt, population Density, industrial Development, shallow Waters, coastline Changes, geomorphological Response, time Series, geographic Information Systems, real Time, reanalysis, temperature Distribution, photovoltaic, hydrodynamic Waves, video camera, transmission Coefficient, ocean Thermal Energy Conversion, searching for Goals, reverse Osmosis, local Browsing, embedding, design Project, implementation Stage, and model Test."
Halal,"Rarasmaya Indraswari, Dr., S.Kom.","Computer Science and Engineering, with particular expertise in transition Area, tumor Detection, spatial Information, v Cellular Network, private vehicle, absolute Average Brightness Error, image Contrast, word Planting, territory Merger, fast Development, segmentation Process, calculation Formula, case study, memory Resources, sampling Technique, relevance Feedback, bank Filter, natural Image, wavelet Decomposition, cost Function, regional Background, basic Model, k value, design Science Research, filtering, perceptron, model Tree, data preprocessing, decomposition Process, and process Area."
Halal,"Nurul Jadid, Dr., S.Si., M.Sc.",
Halal,"Juwari Juwari, S.T., M.Eng., Ph.D.","Engineering and Chemical Engineering, with particular expertise in operating costs, computational Fluid Dynamics, two Degrees of Freedom, exhaust Gas, simulation Results, parametric Uncertainty, internal Model Control, energy Crisis, open Loop, earning Margin, design Methods, lubricating Oil, vaporizer, steady State Simulation, strategy Control, engineering Energy, pass forward, power plant, betaine, film, dirt, cryogenics, methanol, carbon Dioxide Reduction, polyethylene Glycol, the MIMO system, soda api, membrane Technology, and operational Variables."
Halal,"Valeriana Lukitosari, Dr., S.Si., M.T.","Computer Science, Mathematics, and Engineering, with particular expertise in reservation Service, metaheuristik, early Period, document Preparation, practical Advice, survival Analysis, illustrative Example, weibull distribution, information Criteria, warranty Fee, additional cost, two Dimensions, fashion Effects, warehouse, failure Mode, aircraft, life cycle, and parts."
Halal,"Zainul Muhibbin, Drs., M.Fil.I",
Halal,"Ahmad Muklason, S.Kom., M.Sc., Ph.D.","Computer Science and Engineering, with particular expertise in dijkstra's Algorithm, genetic Algorithms, artificial Bee Colony Algorithm, indonesian: Android, hyper-Heuristics, semantic Networks, soft Constraints, private vehicle, metaheuristik, boot Bottle, hill Climb, variable Environment Search, collection System, case study, back propagation neural network, user Interface, test Material, rule Base, basic Frame, medical Data, settlement Data, gate, preliminary Investigation, computational Complexity, trajectory, mathematical Model, domestic Demand, cell phone, advanced Traveler Information System, single Solution, and initial Temperature."
Halal,"Murdjito, Ir., M.Sc.","Engineering, with particular expertise in green Water, finite Element Analysis, analysis of Failure Modes and Effects, anchoring Analysis, stability Analysis, design Aspects, environmental Burden, chain Line, mooring Line, line Tension, extreme Conditions, operator Amplitude Response, north Beach, gas Processing, storage and Unloading of Floating Production, belay System, intact Stability, security Level, and crane Barge."
Halal,"Nasori Nasori, Dr. rer. nat., M.Si.",
Halal,"Ardy Maulidy Navastara, S.T., M.T.","Earth and Planetary Science, Social Sciences, and Engineering, with particular expertise in suburban area, indonesia, entrepreneurship, pedestrians, pulau, tK, metropolitan Area, electrical Network Analysis, defined Limits, internet of Things, fire Protection, and emergency response."
Halal,"Santi Wulan Purnami, Dr., S.Si., M.Si.","Computer Science, Mathematics, and Engineering, with particular expertise in clustering Analysis, high Dimensional Data, frequency Domain, fully Convolutional Networks, text Categorization, minority Class, linear Classification, optimization Without Limits, unsupervised Learning, automatic Segmentation, subband Signal, fast Fourier Transform, gradient Descent, segmentation accuracy, rantai markov monte carlo, b-Spline, dimension Data, dotted line, blood sugar, copula, method Global, nonparametric Regression Models, parametric, magnetic Resonance Imaging, statistical Hypothesis Testing, pola Data, remainder, dependent Variable, grinding, phase Composition, metode Newton, bio Oil, transfer Learning, and area of ​​Interest."
Halal,"Adi Setyo Purnomo, Prof., S.Si., M.Sc., Ph.D.",
Halal,"Dedi Budi Purwanto, S.T., M.T.",
Halal,"Achmad Ferdiansyah Pradana Putra, S.T., M.T.","Pharmacology, Toxicology and Pharmaceutical Sciences, Materials Science, and Chemical Engineering, with particular expertise in amonium Sulfat, bromelain, table Salt, pineapple, calcination, x-Ray Fluorescence Spectroscopy, hydroxyapatite, calcination, separation Method, and polycaprolactone."
Halal,"Herdayanto Sulistyo Putro, S.Si., M.Si.","Pharmacology, Toxicology and Pharmaceutical Sciences, Agricultural and Biological Sciences, and Immunology and Microbiology, with particular expertise in antibiotics, i lived, buffer, penicillin Derivatives, antioxidant Activity, bunga Camellia Chinese, heavy metal, methylene Blue, polyvinyl Alcohol, black Tea, oil Spill, yogurt, agar, enzyme Activity, fungal Culture, demethylase, mixed Cell Culture, solubility and Solubility, metabolites, and fenton's reaction."
Halal,"Orchidea Rachmaniah, Dr., S.T., M.T.","Pharmacology, Toxicology and Pharmaceutical Sciences, Agricultural and Biological Sciences, and Chemistry, with particular expertise in flavonoid, fotosensitizer, ginkgolida B, alzheimer's disease, moles (Insectivores), photodynamic Therapy, bromine Derivatives, apple Dregs, elaeis language, pseudonarcissus lily, cell Wall, gluconeogenesis, hemicellulose, aspergillus niger fungus, white turmeric, malus domestica, microorganisms, tummy time soon, pectin, initial treatment, tank, bait, organic Acids, solid Phase Extraction, soxhlet Extraction, column Chromatography, soluble in water, sodium Silicate, norgalantamine is a drug used to treat pelvic inflammatory disease,..., of O-Methyllycorene, and acidity."
Halal,"Yeni Rahmawati, Dr., S.T., M.T.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in density, composite Membranes, scanning Electron Microscope, silicon Dioxide, pure Water, delignifikasi, separation Efficiency, fluks Permeat, dirt Content, human life, filter Paper, optimal Conditions, key Steps, inversion Method, movers, initial treatment, induced Precipitation, shell Side, moles, engineering Energy, grafena, water level, carbon Black, methane, methanol, separation Method, palm oil, reverse Osmosis, membrane Separation, differential Mobility Analyzer, and polysaccharides."
Halal,"Nur Aini Rakhmawati, Prof., S.Kom., M.Sc.Eng., Ph.D.","Computer Science, Social Sciences, and Engineering, with particular expertise in sentiment Analysis, graph Database, communication Costs, open Data, related Data, community Detection, performance Evaluation, undergraduate Students, support Vector Machines, mining Operations, maturity Assessment, data preprocessing, federation System, official Website, case study, cost of education, standard Deviation, self Evaluation, employee salary, food Industry, scientific Information, government Information, transportation Safety, supply Chain Management, organization for Economic Co-operation and Development, electronic Government, general elections, district Court, legislation, syariah, activity Theory, literature Review, systematic Review, there is Today, electrical Network Analysis, analysis of Failure Modes and Effects, integral Part, dirichlet, road Accidents, sPICENING, affects Productivity, methodically Hybrid, business Customers, opinion Mining, qualitative Approach, filtering, big Change, knot, and freight Rates."
Halal,"Mavindra Ramadhani, S.T., M.T.","Materials Science and Engineering, with particular expertise in analysis Thermogravimetry, barium, pig iron, x-Ray Diffraction, ferronickel, hexaspheres, cathode, ultimate Tensile Strength, polymer Composite, martensite, scanning Electron Microscope, morphology, copper Alloy, sand Casting, indentation Hardness Testing, peroxide, intermetallic Compounds, glass Fiber, sodium, fourier Transform Infrared Spectroscopy, corrosion Resistant, size Details, silicone, finite Element Analysis, operational Area, isothermal Section, ship Propeller, diamond, lead Frame, loss of Voice Transmission, rubber Composite, stress-Strain Curve, deleting, violence Value, fusion Deposition Modeling, circuit Breaker, three Dimensional Printing, sound Absorption, simulation Software, tire, casting Process, rapid Prototyping, tern system, equivalent Voltage, and hold Time."
Halal,"Amaliya Rasyida, S.T., M.Sc.","Materials Science and Engineering, with particular expertise in new Materials, grafena, material Strength, density, wood-Plastic Composite, indentation Hardness Testing, mechanical Testing, polysiloxane, oxidation Reaction, silicon Dioxide, quantum Dots, nanofiber, industrial Applications, medical Applications, the inside part, negative Bacteria, positive Bacteria, used Tires, test Results, sound Absorption Coefficient, rubber Composite, unmodified montmorillonite, paduan Az, melt Mixing, modified poly, recycling Process, sol-Gel Process, nano Fiber, attraction, hot Press, and degradation Rate."
Halal,"Hamdan Dwi Rizqi, S.Si., M.Si.","Pharmacology, Toxicology and Pharmaceutical Sciences, Agricultural and Biological Sciences, and Immunology and Microbiology, with particular expertise in anti-Infective Agent, flower Extract, flavonoid, hexane, iron Ion, antioxidant Capacity, corona virus, indonesian: ABTS, bentonite, seeds, soil Bioremediation, daedalea, methylene Blue, oryza bird, hydroxylation, aspergillus rice blight, mixed Cell Culture, salinity, and incubation Time."
Halal,"Tubagus Noor Rohmannudin, S.T., M.Sc.","Materials Science and Engineering, with particular expertise in sea water, aluminium, he loves, biomaterials, lithium Ion Battery, density, magnesium, theoretical Calculations, hydrothermal Synthesis, voltammetry Glides, photoflow, boy, lighting Conditions, glucose Concentration, solution Concentration, critical Cooling Rate, micrograph, reduction, high Temperature, and sequence of Polynomials."
Halal,"Afifah Rosyidah, Dr., S.Si., M.Si.","Materials Science, Chemistry, and Engineering, with particular expertise in reducing Agent, catalytic Activity, al2O, particle Size Analysis, surface Morphology, come Left, titanium Dioxide, asam Benzenedicarboxylate, gaya Van Der Waals, orthorhombic Space Group, hydroxyl Group, vibration Stretching, sol Gel Process, solid State Reactions, fourier Transform Infrared Spectroscopy, vitamin A, energy Defects, deoxygenation, phase Aurivillius, stable Phase, product Results, cellulose Content, random Access Memory, ray Diffraction Method, state Reaction, and physicochemical Properties."
Halal,"Agus Rubiyanto, Prof., Dr. rer. nat., M.Eng.,Sc.",
Halal,"Niken Anggraini Savitri, S.T., M.T.","Economics, Econometrics and Finance, Engineering, and Social Sciences, with particular expertise in low-Cost Strategy, analytical Approach, innovative Product, joints (Structural Components), literature Reviews, research and Development, sales, strategy Implementation, and supply Chain Management."
Halal,"Nur Syahroni, S.T., M.T., Ph.D.","Agricultural and Biological Sciences and Engineering, with particular expertise in mariculture, diatom, anal, endoparasites, phytoplankton, tuna fish, dirt, leftovers, pseudo Terranova, intestines, caudal Vein, zooplankton, finite Element Analysis, anchoring Analysis, boy, environmental Burden, anchorage Design, temperature Distribution, chain Line, mooring Line, reciprocal relationship, jacket Platform, fatigue of Life, ship Classification, the Fillets, lift Plate, design Selection, dynamic Behavior, joints (Structural Components), modern System, peak Temperature, and service Life."
Halal,"Warlinda Eka Triastuti, S.Si., M.T.",
Halal,"Iwan Vanany, Prof., S.T., M.T., Ph.D.","Computer Science, Engineering, and Social Sciences, with particular expertise in bibliometric Analysis, blood Supply Chain, complex Process, criticality, decision Variable, distribution System, fossil Fuel, infrastructure, internals, lead Time, numerical Example, oil Company, shipbuilding, total Profit, warehouses, cOVID 19 Epidemic, decision Making Trial and Evaluation of Laboratory, food Industry, health Care Delivery, indonesia, literature Reviews, risk Management, and trading Company."
Halal,"Widyastuti, Dr., S.Si., M.Si.","Materials Science and Engineering, with particular expertise in analysis Thermogravimetry, he loves, stainless steel, barium, bond Strength (Material), density, morphology, indentation Hardness Testing, come Left, crystal Structure, titanium Dioxide, sensor Applications, dihydrogen Ammonium Phosphate, discrete Elements, rotation Speed, loss of Reflection, the Power of Obstacles, elasticity Problem, deep Drawing, mixing Machine (Machine), simulation Method, mass Production, recycling Process, fire Spray, sensor Gas, microstructure, temperature Time, moles, and hold Time."
Halal,"Diah Puspito Wulandari, Dr., S.T., M.Sc.","Computer Science and Engineering, with particular expertise in morphological Analysis, performance Evaluation, medical Information, artificial intelligence, purchase Decision, simulation Environment, pre-trained model, coefficient Value, music Information Retrieval, visual Stimulation, butterworth screening, subband Signal, case study, electrical Activity, frame Analysis, noise Artifacts, adaptive Filter, statistical Features, file Format, test Results, internet of Things, earth Fault, similarities, hidden Layer, statistically Significant Differences, sound Signal, spectrogram, short Term Fourier Transform, and recurring Time."
Halal,"Muhammad Badrus Zaman, Dr. Eng., S.T., M.T.","Engineering, with particular expertise in air Ballast, stability Analysis, direct current, propeller, current Distribution, shipyard, intake Valve, dual Fuel Engine, lubricant, centralized Maintenance, pusher, bow Thruster, converter, compression Ratio, augmented Reality, temporary, computer Simulation, distribution System, system Control, solar, risk Level, and maintenance Tasks."
Halal,"Daril Ridho Zuchrillah, S.T., M.T.",
KPBI,"Khakim Ghozali, Ir., M.MT.","Computer Science, with particular expertise in mobile App, private Cloud, data Seconds, memory Performance, creation of Institutions, phoronix Test Suite, planning Stage, vGG-, and queuing system."
KPBI,"Gogor Arif Handiwibowo, S.T., M.MT.","Computer Science, Engineering, and Social Sciences, with particular expertise in sustainable Development, sustainable Development, sustainable Development, and sustainable Development."
KPBI,"Dody Hartanto, S.T., M.T.",
KPBI,"Ilman Harun, S.T., M.Sc.",
KPBI,"Nurul Jadid, Dr., S.Si., M.Sc.",
KPBI,"Arwi Yudhi Koswara, S.T., M.T.","Earth and Planetary Science, Social Sciences, and Engineering, with particular expertise in satellite Imagery, dam Failure, image Processing, regional Geography, indonesia, public Works, human Settlements, legislation, analytical Hierarchy Process, national Parks, in-depth Interview, slum area, and main Input."
KPBI,"Arman Hakim Nasution, Dr., Ir., M.Eng.","Economics, Econometrics and Finance, Engineering, and Social Sciences, with particular expertise in lot Size, new Product Development, order Quantity, specific Industry, agroindustry, complex Model, computer Simulation, decision Variable, discrete Event Simulation, economic Benefit, inventory Analysis, model Chain, numerical Example, processed Data, redesign, related Cost, starting Point, brand Personality, dairy Industry, indonesia, self-Expression, simultaneous Engineering, strategic Planning, and structural Equation Modeling."
KPBI,"Prahardika Prihananto, S.T., M.T.","Economics, Econometrics and Finance, Medicine and Dentistry, and Physics, with particular expertise in brand Image, lead Market, principal Components, and principal Component Analysis."
KPBI,"Edwin Setiawan, Dr. rer. nat., S.Si., M.Sc.",
KPBI,"Ria Asih Aryani Soemitro, Prof., Dr., Ir., M.Eng.","Earth and Planetary Sciences and Engineering, with particular expertise in annual Variation, ash, disaster Management, dynamic Loads, earth Surface Sediment Transport, electromagnetism, hydraulic Head, indonesia, liquefaction, literature Reviews, metropolitan Area, mud Volcano, oedometer Test, private Sector, property of Materials, random Sampling, residual Soil, river Discharge, tomography, water Current, alkaline Activator, artificial Aggregate, comparative Analysis, expansive Soil, field Investigation, fill Material, geopolymer, image Processing, improvement Strategies, initial State, levee, loose Sand, maintenance Program, microbial, nomograph, pile Foundations, renewals, saturated Condition, soil Water Content, staged Construction, and surcharge."
PDPM,"Gita Widi Bhawika, S.ST., M.MT.","Computer Science, Engineering, and Social Sciences, with particular expertise in foreign Countries, foreign Countries, foreign Countries, and foreign Countries."
PDPM,"Mukti Ratna Dewi, S.Si., M.Sc.",
PDPM,"Endarko, Prof., M.Si., Ph.D.","Materials Science, Medicine and Dentistry, and Engineering, with particular expertise in al2O, cathode Material, film, rubber, finite Difference Method, morphology, waveguide, photoelectrochemical Water Separation, three Dimensional Printing, perak, polyethylene Glycol, in polylactide, polymorphism, come Left, fourier Transform Infrared Spectroscopy, quantum Dots, voltammetry Glides, zirconia, silicone, dada, patient Data, insulin Dependent Diabetes Mellitus, dosimeter Film, thermoluminescent Dosimeters, low Drug Dosage, absorbed dose, histogram Dosis-Volume, breast Tissue, non-Small Cell Lung Cancer, medication Adherence, glycemic Control, mammography, mastectomy, neoplasm, a few-a few, right Lung, pediatricians, brain Imaging, thoracic Disease, silastic, gaussian language, desalination, light Diffraction, field Distribution, two Dimensions, photodiode, logic Gates, activated Carbon, carbon Black, microcontroller, error Value, paraffin, ion Exchange, one Step, biological sensors, sterilization, current Source, crosslinking, engineering Energy, crystal Size, and total Variation."
PDPM,"M. Haris Miftakhul Fajar, S.T., M.Eng.",
